taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Desmognathus quadramaculatus,0.0016,5.0,5576.336357395867,3251.300952114882,-717.9909075378489,-1132.363890184269,-78.40944775669506,0.0004288
Dryophytes gratiosus,0.00115,29.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0010442
Dryophytes squirellus,0.00227,27.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0006787299999999
Dryophytes versicolor,0.0022,19.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0017226
Eleutherodactylus coqui,0.0306999999999999,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0093941999999999
Engystomops pustulosus,0.0029,25.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.001885
Epidalea calamita,0.0087,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0041673
Eurycea longicauda,0.00114,15.0,4132.740860505589,-2902.077203012059,-182.52103002160155,12.7917444525807,117.12904692219456,0.00042864
Gastrophryne carolinensis,0.0035,15.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0028385
Geotrypetes seraphini,0.0019,20.0,5677.351409264003,3690.128138014689,-655.261211782354,-91.30381217613682,131.53080622755243,0.000817
Gyrinophilus porphyriticus,0.0019299999999999,15.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00059058
Hyperolius viridiflavus,0.001,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00056
Incilius alvarius,0.1508,15.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.1456728
Kaloula pulchra,0.0009,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0006984
Necturus maculosus,0.125,25.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.01375
Odontophrynus americanus,0.01524,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00452628
Osteopilus septentrionalis,0.005,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00273
Plethodon jordani,0.0031,5.0,5576.336357395867,3251.300952114882,-717.9909075378489,-1132.363890184269,-78.40944775669506,0.0007254
Pseudoeurycea gadovii,0.0028799999999999,15.0,5573.054263898109,3236.9375419185967,-721.872178769086,-1187.4698592228556,-90.01633730453788,0.0010425599999999
Pyxicephalus adspersus,0.5622999999999999,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.1180829999999999
Scaphiopus couchii,0.0246,21.0,4140.726113397924,-2903.807249985575,-180.69087542810595,12.708845745464023,116.75734700491311,0.0138743999999999
Spea hammondii,0.01274,21.0,4140.726113397924,-2903.807249985575,-180.69087542810595,12.708845745464023,116.75734700491311,0.00875238
Taricha torosa,0.0098699999999999,10.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.0016186799999999
Xenopus laevis,0.139,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.031553
Balanus balanus,4.98e-06,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,1.5946955999999998e-05
Balanus balanus,9.2e-05,15.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,8.60016e-05
Balanus balanus,9.2e-05,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,8.9654e-05
Balanus balanus,0.0001129,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,8.171702e-05
Balanus balanus,0.000117,5.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,8.7984e-05
Calanus finmarchicus,9.4e-07,7.5,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,3.384e-06
Daphnia pulex,1.47e-07,30.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,8.546433e-06
