taxon_name
Sitophilus granarius
Tribolium castaneum
Tribolium confusum
Onymacris plana
Onymacris unguicularis
Onymacris laeviceps
Onymacris rugatipennis
Physadesmia globosa
Physosterna cribripes
Stenocara gracilipes
Zophosis orbicularis
Pimelia grandis
Blaps gigas
Tenebrio molitor
Aphodius rufus
Aphodius contaminatus
Aphodius fimetarius
Circellium bacchus
Anachalcos convexus
Sisyphus fasciculatus
Pleocoma australis
Odontotaenius disjunctus
Geotrupes spiniger
Omorgus radula
Corydalus cornutus
Drosophila repleta
Drosophila americana
Drosophila virilis
Drosophila mimica
Drosophila melanogaster
Drosophila nikananu
Phormia regina
Protophormia terraenovae
Musca domestica
Pantophthalmus tabaninus
Culex tarsalis
Hapigia simplex
Mimas tiliae
Protambulyx strigilis
Manduca rustica
Sphinx ligustri
Enyo ocypete
Oryba achemenides
Erinnyis ello
Perigonia lusca
Pachylia ficus
Xylophanes chiron
Deilephila elpenor
Syssphinx molina
Eacles imperialis
Automeris fieldi
Hylesia praeda
Bombyx mori
Ostrinia nubilalis
Galleria mellonella
Cystosoma saundersii
Philaenus spumarius
Neophilaenus lineatus
Rhodnius prolixus
Libellula auripennis
Libellula needhami
Erythemis simplicicollis
Erythrodiplax connata
Pachydiplax longipennis
Tramea carolina
Miathyria marcella
Pantala flavescens
Perithemis tenera
Brachymesia gravida
Anax junius
Daphnia pulex
Triops cancriformis
Oncaea mediterranea
Euchaeta marina
Calanus finmarchicus
Balanus balanus
Semibalanus balanoides
Glyptonotus antarcticus
Idotea baltica
Asellus aquaticus
Stenasellus virei
Ligia oceanica
Porcellio scaber
Cylisticus convexus
Armadillidium vulgare
Armadillidium nasatum
Oniscus asellus
Trichoniscus pusillus
Niphargus krameri
Niphargus stygius
Niphargus rhenorhodanensis
Niphargus virei
Gammarus fossarum
Dikerogammarus haemobaphes
Gammarus locusta
Gammarus salinus
Gammarus oceanicus
Gammarus duebeni
Eurythenes gryllus
Bathyporeia pilosa
Lucifer typus
Palaemon adspersus
Macrobrachium heterochirus
Macrobrachium olfersii
Macrobrachium acanthurus
Oplophorus spinosus
Pachygrapsus marmoratus
Gecarcoidea natalis
Cancer pagurus
Austrothelphusa transversa
Menippe mercenaria
Scylla serrata
Callinectes sapidus
Panopeus herbstii
Xantho hydrophilus
Maja squinado
Coenobita compressus
Paralomis multispina
Munidopsis verrilli
Cherax destructor
Homarus americanus
Stereomastis sculpta
Euphausia crystallorophias
Euphausia superba
Euphausia pacifica
Euphausia tricantha
Thysanoessa macrura
Thysanoessa inermis
